DATA;OPEN;HIGH;LOW;CLOSE;Pontos;Tot_Pontos;TARGET;SD_Close_5_N;SD_Close_8_N;SD_Close_10_N;SD_Close_13_N;SD_Close_15;SD_Close_20_N;Range_High_N;Range_Low_N;CRTDR_N;COUNT_HiLo_N;CTDRSUMLAST10_N;HIGHtoCLOSESUMLAST10_N;LOWtoCLOSESUMLAST10_N
04/06/2009;52094;53464;51745;53464;500;-133;1;0.251752284;0.243458454;0.317220188;0.31364198;0.329058288;0.362564805;0;0.479728547;1;0.166666667;0.645931364;0.334064844;0.422101857
05/06/2009;53474;54627;53050;53341;500;290;1;0.249487304;0.212339708;0.265743044;0.317592384;0.275022627;0.379693553;0.250049535;0.911723033;0.184527584;0.166666667;0.573343718;0.405971738;0.448102572
08/06/2009;53340;53905;52483;53630;-476;-476;0;0.196931827;0.158889268;0.202362418;0.319243662;0.284561478;0.397534283;0.053182792;0.653924234;0.806610408;0.166666667;0.601819917;0.414580309;0.377358061
09/06/2009;53633;54102;52845;53157;500;252;1;0.163152153;0.15680562;0.170385819;0.264088539;0.280791612;0.396911809;0.184381601;0.905024913;0.248210024;0.166666667;0.490096568;0.479580121;0.499741896
10/06/2009;53159;54048;52819;53411;500;147;1;0.032253655;0.155217378;0.119966572;0.212913884;0.274345226;0.353067227;0.123695801;0.820647859;0.481692433;0.166666667;0.54982169;0.426005841;0.464647031
12/06/2009;53411;53936;53143;53558;-1524;-1524;0;0.03620141;0.117533364;0.117112531;0.151658315;0.223327705;0.322684899;0.073200439;0.87461681;0.52332913;0.333333333;0.473936785;0.4547074;0.53293008
15/06/2009;53558;53558;51252;52034;-829;-829;0;0.175881111;0.142538036;0.157988069;0.144607955;0.17917639;0.254768114;0.303769377;0.756815938;0.339115351;0.166666667;0.439171031;0.527336111;0.530199229
16/06/2009;52035;52494;51166;51206;-151;-151;0;0.28379436;0.206781129;0.196745433;0.172167083;0.163236547;0.25846599;0.260880277;0.987359778;0.030120482;0.333333333;0.320455662;0.601935822;0.629026099
17/06/2009;51197;51197;50265;51046;-147;-147;0;0.335388907;0.26335426;0.228273719;0.221342158;0.187818198;0.263240339;0.030680432;0.752426084;0.837982833;0.5;0.432250053;0.542045815;0.574711844
18/06/2009;51050;51275;50510;50903;500;466;1;0.309746236;0.297637342;0.268283455;0.261650156;0.213710287;0.269064992;0.075795914;0.875070575;0.51372549;0.666666667;0.484057811;0.422330633;0.578197568
19/06/2009;50908;51665;50908;51374;-1872;-1872;0;0.112009053;0.276184736;0.271268265;0.245466108;0.230852577;0.240227093;0.058748373;0.853222967;0.615587847;0.166666667;0.422860282;0.445365603;0.678313582
22/06/2009;51367;51367;49411;49495;318;318;0;0.205502723;0.339439497;0.343610358;0.300361424;0.304021522;0.274105062;0.392275109;0.972537914;0.042944785;0.166666667;0.400320626;0.501131603;0.694615146
23/06/2009;49496;49902;49130;49814;500;-147;1;0.226039879;0.316337542;0.34949963;0.345129921;0.315481686;0.299424202;0.018322195;0.777812177;0.886010363;0.166666667;0.412960916;0.487462922;0.727823587
24/06/2009;49819;50758;49520;49672;500;1847;1;0.229756622;0.219388013;0.350358855;0.364017641;0.326648291;0.337519534;0.226758938;0.950483777;0.122778675;0.166666667;0.392992534;0.504078883;0.740008937
25/06/2009;49668;51515;49327;51515;-31;-31;0;0.274775652;0.192815746;0.290831977;0.342408498;0.327108947;0.339268574;0;0.31272716;1;0.166666667;0.475505905;0.455578322;0.603859658
26/06/2009;51517;51935;51341;51486;500;650;1;0.283515732;0.202156407;0.192627897;0.304994392;0.307930881;0.337889863;0.090448928;0.954428385;0.244107744;0.166666667;0.431054504;0.462341376;0.625253329
29/06/2009;51488;52275;51488;52138;-678;-678;0;0.312446396;0.242665269;0.197202077;0.281854392;0.289250713;0.331430311;0.027252882;0.79826811;0.82592122;0.166666667;0.508552877;0.353920516;0.636364676
30/06/2009;52143;52435;51102;51465;500;80;1;0.257988837;0.250412717;0.201381637;0.236916383;0.255992767;0.297925016;0.195481649;0.885867267;0.27231808;0.166666667;0.547110177;0.328278011;0.609159382
01/07/2009;51464;52383;51464;51544;-513;-513;0;0.065946296;0.254217807;0.207907598;0.16812215;0.231067742;0.270772134;0.168822403;0.974885332;0.087051143;0.166666667;0.427563581;0.38244285;0.668790081
02/07/2009;51538;51538;50608;51025;-91;-91;0;0.099223212;0.207812404;0.207979619;0.153436296;0.190316514;0.273941729;0.104275093;0.867758243;0.448387097;0.166666667;0.417161859;0.393609406;0.666829994
03/07/2009;51026;51167;50915;50935;-310;-310;0;0.124154583;0.164159509;0.204608533;0.152602755;0.124996291;0.257623664;0.047240872;0.993646263;0.079365079;0.333333333;0.331796429;0.389097368;0.704470772
06/07/2009;50932;50932;49691;50622;-1162;-1162;0;0.095305468;0.091462256;0.166566238;0.153895129;0.112726059;0.24255269;0.063513878;0.702404781;0.75020145;0.5;0.444390062;0.260191584;0.632060982
07/07/2009;50619;50621;49400;49457;-282;-282;0;0.213040229;0.186101203;0.185486003;0.181174928;0.137663693;0.234084213;0.244102061;0.981350695;0.046683047;0.666666667;0.310771086;0.348718843;0.686619937
08/07/2009;49460;49846;48456;49178;46;46;0;0.238640546;0.247842642;0.212286995;0.205759187;0.165758665;0.235525404;0.140880809;0.762435303;0.51942446;0.833333333;0.373916181;0.315046419;0.636213123
10/07/2009;49175;49326;48714;49221;-34;-34;0;0.229111058;0.240138936;0.24525095;0.213937;0.18645703;0.215880787;0.022125093;0.83332399;0.828431373;0.166666667;0.346602851;0.323721568;0.775760267
13/07/2009;49221;49644;48262;49187;-313;-313;0;0.165596793;0.23666847;0.262377741;0.229410977;0.196940481;0.175073099;0.096363397;0.695696487;0.669319826;0.166666667;0.414295635;0.326040604;0.706406603
14/07/2009;49186;49647;48573;48873;500;2421;1;0.042650798;0.210379384;0.24412034;0.250916407;0.211619677;0.182007339;0.164254848;0.900672884;0.279329609;0.333333333;0.327279509;0.379758452;0.733856432
15/07/2009;48876;51488;48876;51297;500;626;1;0.275071078;0.226241094;0.237797438;0.246853398;0.21427809;0.183103737;0.03861781;0.236307737;0.926875957;0.166666667;0.431483616;0.318252854;0.559740548
16/07/2009;51292;52338;50703;51918;154;154;0;0.398973147;0.28350541;0.255403853;0.257366488;0.222918766;0.196246811;0.083903016;0.621318672;0.743119266;0.333333333;0.535928151;0.284956348;0.464966214
17/07/2009;51918;52352;51736;52072;500;1082;1;0.437079637;0.343238611;0.293341415;0.255262606;0.233857926;0.212313065;0.055769918;0.895587959;0.545454545;0.5;0.551381066;0.26593769;0.472426032
20/07/2009;52073;53262;52073;53155;500;79;1;0.456960248;0.433487031;0.378383492;0.309727262;0.276483747;0.25259219;0.020877856;0.670618877;0.91000841;0.666666667;0.683617571;0.255600871;0.385837819
21/07/2009;53155;53716;52520;53234;-159;-159;0;0.230521783;0.465336139;0.444253706;0.35609134;0.306336471;0.280007929;0.093908342;0.782967547;0.596989967;0.833333333;0.659226656;0.267518402;0.407432848
22/07/2009;53232;53664;52543;53073;500;1175;1;0.171643747;0.446597881;0.465140343;0.392364998;0.335870259;0.298801435;0.115494175;0.838408765;0.47279215;0.166666667;0.727062244;0.217091835;0.369116944
23/07/2009;53074;54629;53065;54249;208;208;0;0.211100831;0.422536146;0.494290404;0.459942985;0.397014477;0.340270287;0.072650414;0.646836727;0.757033248;0.166666667;0.764889016;0.190339007;0.338130488
24/07/2009;54249;54600;54037;54457;91;91;0;0.178689622;0.273081989;0.489891743;0.514699663;0.45239027;0.390152747;0.027235074;0.875200988;0.746003552;0.333333333;0.751766697;0.192342608;0.349355711
27/07/2009;54458;54886;53943;54549;-75;-75;0;0.190720907;0.247082852;0.438265935;0.532793473;0.497128486;0.434227138;0.064075107;0.820236548;0.642629905;0.5;0.747517723;0.179682516;0.382738952
28/07/2009;54547;54547;53779;54472;-735;-735;0;0.165088764;0.21477613;0.280023256;0.517379668;0.525728825;0.468753939;0.014280196;0.794138335;0.90234375;0.166666667;0.846700139;0.120878137;0.354182128
29/07/2009;54470;54470;53256;53735;500;743;1;0.079402673;0.140626759;0.218495211;0.464707349;0.508040944;0.48508651;0.141865346;0.855757305;0.394563427;0.333333333;0.76195721;0.161361027;0.520226969
30/07/2009;53735;55083;53735;54478;500;292;1;0.081863157;0.129361856;0.180484999;0.39385781;0.48078934;0.512266411;0.115180897;0.779309709;0.551186944;0.166666667;0.731402026;0.173624941;0.56257682
31/07/2009;54474;54980;54206;54766;500;1232;1;0.097196093;0.115862702;0.127148888;0.249646302;0.43928341;0.537209256;0.040527423;0.83454017;0.723514212;0.333333333;0.759748715;0.167648428;0.546212824
03/08/2009;54766;56200;54766;55998;500;40;1;0.226928412;0.141436255;0.17817408;0.246744782;0.398531978;0.582628285;0.03741322;0.643996916;0.859135286;0.5;0.751649831;0.174131869;0.539076748
04/08/2009;55998;56656;55727;56038;500;343;1;0.279286855;0.185563475;0.198281657;0.243423008;0.292532234;0.613328773;0.114380525;0.910196486;0.334768568;0.666666667;0.709904788;0.182158919;0.57318075
05/08/2009;56041;56586;55407;56384;-630;-630;0;0.234753529;0.228648056;0.196098265;0.23303593;0.28021547;0.617044005;0.037157092;0.71961534;0.828668363;0.833333333;0.766559462;0.151443305;0.541337907
06/08/2009;56385;56780;55361;55755;500;572;1;0.163938442;0.229870226;0.196855233;0.224356477;0.252165829;0.583640383;0.190671719;0.885652159;0.277660324;0.166666667;0.690244396;0.197718922;0.605352917
07/08/2009;55758;56644;55758;56330;500;501;1;0.057736531;0.236153282;0.212176259;0.221312407;0.225420521;0.543902826;0.057814415;0.83568703;0.645598194;0.166666667;0.674260094;0.209708942;0.594761112
10/08/2009;56329;56830;56151;56830;-1055;-1055;0;0.100919625;0.188044758;0.236031827;0.209396046;0.2355902;0.489828908;0;0.806666245;1;0.333333333;0.731152591;0.184585384;0.591123562
11/08/2009;56816;56816;55568;55761;500;827;1;0.117272823;0.131090857;0.218531556;0.199019522;0.211092276;0.366271027;0.196231237;0.943992998;0.154647436;0.166666667;0.612121059;0.25592756;0.63129244
